nutrient_key,fase_vida,nutriente_nome,categoria,unidade,peso_score,minimo_dm,maximo_dm,tipo_limite_maximo,ajustar_por_energia
protein_gkg,Adulto,Proteína,Macronutriente,g/kg,10,180,,Nutricional,TRUE
fat_gkg,Adulto,Gordura total,Macronutriente,g/kg,8,55,,Nutricional,TRUE
fiber_gkg,Adulto,Fibra bruta,Macronutriente,g/kg,3,,,Optativo,FALSE
omega_6_mgkg,Adulto,Ácido linoleico (ômega 6),Ácido graxo,mg/kg,6,13200,65000,Nutricional,TRUE
omega_3_mgkg,Adulto,Ácidos graxos ômega 3,Ácido graxo,mg/kg,6,800,,Nutricional,TRUE
epa_dha_mgkg,Adulto,EPA + DHA,Ácido graxo,mg/kg,7,500,,Nutricional,TRUE
calcium_min_mgkg,Adulto,Cálcio (mínimo),Macromineral,mg/kg,9,5000,25000,Nutricional,TRUE
calcium_max_mgkg,Adulto,Cálcio (máximo),Macromineral,mg/kg,5,5000,25000,Nutricional,TRUE
phosphorus_mgkg,Adulto,Fósforo,Macromineral,mg/kg,9,4000,16000,Nutricional,TRUE
chlorine_mgkg,Adulto,Cloro,Macromineral,mg/kg,4,1500,,Nutricional,TRUE
sodium_mgkg,Adulto,Sódio,Macromineral,mg/kg,4,1000,,Nutricional,TRUE
potassium_mgkg,Adulto,Potássio,Macromineral,mg/kg,4,5000,,Nutricional,TRUE
magnesium_mgkg,Adulto,Magnésio,Macromineral,mg/kg,5,700,,Nutricional,TRUE
iron_mgkg,Adulto,Ferro,Micromineral,mg/kg,4,36,681.8,Legal,TRUE
copper_mgkg,Adulto,Cobre,Micromineral,mg/kg,4,7.2,28,Legal,TRUE
zinc_mgkg,Adulto,Zinco,Micromineral,mg/kg,4,72,227,Legal,TRUE
manganese_mgkg,Adulto,Manganês,Micromineral,mg/kg,3,5.8,170,Legal,TRUE
iodine_mgkg,Adulto,Iodo,Micromineral,mg/kg,4,1.1,11,Legal,TRUE
selenium_mgkg,Adulto,Selênio,Micromineral,mg/kg,4,0.18,0.568,Legal,TRUE
vitamin_a_uikg,Adulto,Vitamina A,Vitamina,IU/kg,4,6060,400000,Nutricional,TRUE
vitamin_d3_uikg,Adulto,Vitamina D3,Vitamina,IU/kg,4,552,3200,Nutricional,TRUE
